"Area (standard Freshservice only)","Endpoint family","Documented operations","Project commands","Coverage","Missing operations / review note","Priority","Decision (Add/Skip)"
"Tickets","/tickets","Create; view; filter; list; update; delete; restore","Get/New/Set/Remove/Restore-FreshServiceTicket","Implemented","Get also supports fields; activities; CSAT; list and filter parameters","","Add - focused ticket create, view, bounded list, filter, and update; skip delete and restore"
"Tickets","/tickets/{id}/move_workspace","Move ticket","","Missing","Add Move-FreshServiceTicket","P1","Skip - single-workspace tenant"
"Tickets","/tickets/{ticket_id}/attachments/{id}","Delete ticket attachment","","Missing","Add Remove-FreshServiceTicketAttachment","P1","Skip - attachments are out of scope"
"Tickets","/tickets/{parent_id}/create_child_ticket","Create child ticket","New-FreshServiceTicket -parent_id","Implemented","","","Skip - no child-ticket workload"
"Tickets","/ticket_form_fields; /tickets/{id}/activities; /tickets/{id}/csat_response","List ticket fields; get activity; get CSAT response","Get-FreshServiceTicket -fields/-Activities/-csat_response","Implemented","","","Add - ticket fields and activity; CSAT is Conditional"
"Tickets","/tickets/{id}/time_entries; /tickets/{id}/time_entries/{entry_id}","Create; view; list; update; delete time entry","Get/New/Set/Remove-FreshServiceTimeEntry","Implemented","Shared command also covers problem; change; release time entries","","Skip - time entries are out of scope"
"Tickets","/tickets/{id}/tasks; /tickets/{id}/tasks/{task_id}","Create; view; list; update; delete task","Get/New/Set/Remove-FreshServiceTask","Implemented","Shared command also covers problem; change; release tasks","","Add - ticket-task reads only"
"Tickets","/tickets/{id}/requested_items","View and update requested items; add catalog item to existing request","Get/Set-FreshServiceRequestedItem","Partial","Add catalog item to existing service request","P1","Add - requested-item reads only"
"Tickets","/tickets/{id}/create_child_service_request","Create child service request","","Missing","Add New-FreshServiceChildRequest","P2","Skip - no child-service-request workload"
"Tickets","/tickets/{id}/approvals; /tickets/{id}/approvals/{approval_id}","Create; list; view; send reminder; cancel approval","Get/New/Set-FreshServiceRequestApproval","Partial","Add single approval lookup; reminder; cancellation; verify Set action coverage","P1","Add - ticket approval reads only"
"Tickets","/tickets/{id}/approval_groups; approval-chain-rule action","Create; update; list; cancel approval groups; update chain rule","","Missing","Entire approval-group family","P1","Skip - no approval-group action workload"
"Tickets","Major-incident actions","Promote incident; demote incident","","Missing","Add promote and demote commands","P2","Skip - no major-incident action workload"
"Tickets","/ticket_sources","Create custom ticket source","New-FreshServiceTicketSource","Implemented","","","Skip - no custom ticket-source workload"
"Conversations","/tickets/{id}/conversations; /conversations/{id}","Create reply; create note; update; delete; list","Get/New/Set/Remove-FreshServiceConversation","Partial","Add delete-conversation-attachment","P2","Add - ticket note creation and optional ticket conversation embed; standalone conversation management is Conditional"
"Problems","/problems; /problem_form_fields; /problems/{id}/move_workspace","Create; view; list; update; move; delete; restore; fields","Get/New/Set/Remove/Restore-FreshServiceProblem","Partial","Add move; Get declares workspace_id but does not use it","P1","Skip - problems are outside the committed surface"
"Problems","Problem notes; time entries; tasks","CRUD child resources","Get/New/Set/Remove-FreshServiceNote; Get/New/Set/Remove-FreshServiceTimeEntry; Get/New/Set/Remove-FreshServiceTask","Implemented","","","Skip - problems and time entries are outside the committed surface"
"Changes","/changes; /change_form_fields; /changes/{id}/move_workspace","Create; view; list; update; fields; move; delete","Get/New/Set/Remove/Restore-FreshServiceChange","Partial","Add move; current docs do not list restore","P1","Skip - changes are outside the committed surface"
"Changes","Change approvals and approval groups","List; view; remind; cancel approvals; create/update/list/cancel groups; update chain rule","","Missing","Entire change approval family","P1","Skip - changes are outside the committed surface"
"Changes","Change notes; time entries; tasks","CRUD child resources","Get/New/Set/Remove-FreshServiceNote; Get/New/Set/Remove-FreshServiceTimeEntry; Get/New/Set/Remove-FreshServiceTask","Implemented","","","Skip - changes and time entries are outside the committed surface"
"Releases","/releases; /releases/filter; /release_form_fields; /releases/{id}/move_workspace","Create; view; filter; list; update; move; delete; restore; fields","Get/New/Set/Remove/Restore-FreshServiceRelease","Partial","Add move and explicit fields retrieval; validate current filter options","P1","Skip - releases are out of scope"
"Releases","Release notes; time entries; tasks","CRUD child resources","Get/New/Set/Remove-FreshServiceNote; Get/New/Set/Remove-FreshServiceTimeEntry; Get/New/Set/Remove-FreshServiceTask","Implemented","","","Skip - releases and time entries are out of scope"
"CABs","CABs","Create; list; view; update; delete","","Missing","Entire endpoint family","P2","Skip - no CAB workload"
"Approvals","Global approvals","List all approvals","","Missing","Global approval listing","P2","Add - filtered global approval search"
"Workspaces","Workspaces / clients","Create; view; list; filter; update; delete; list fields","Get-FreshServiceWorkspace","Partial","Read/list only; add create; filter; update; delete; fields","P1","Skip - single-workspace tenant"
"Requesters","Requesters / contacts","Create; view; list; filter; fields; update; deactivate; forget; convert; merge; reactivate; assignment history","Get/New/Set/Remove-FreshServiceRequester","Partial","Verify lifecycle-action coverage; add assignment history","P2","Add - focused requester read"
"Agents","Agents","Create; view; list; filter; update; deactivate; forget; reactivate; convert; fields; assignment history","Get/New/Set/Remove-FreshServiceAgent; Get-FreshServiceAgentRole","Partial","Verify forget and conversion; add fields and assignment history","P2","Add - focused agent read"
"Agent roles","Agent roles","View; list","Get-FreshServiceAgentRole; New-FreshServiceAgentRoleConfig","Partial","Helper is not an API role-management endpoint","P3","Skip - no agent-role workload"
"Agent groups","Agent groups","Create; view; list; update; delete; membership management","Get/New/Set/Remove-FreshServiceAgentGroup; agent group member commands","Implemented","","","Add - focused agent-group read"
"Requester groups","Requester / contact groups","Create; view; list; update; delete; add/remove/list members","Get/New/Set/Remove-FreshServiceRequesterGroup; requester group member commands","Implemented","","","Skip - no requester-group workload"
"Locations","Locations","Create; view; list; filter; update; delete","Get/New/Set/Remove-FreshServiceLocation","Partial","Validate and document current filter semantics","P3","Add - focused location read"
"Departments","Departments / companies","Create; view; list; filter; update; delete; fields","Get/New/Set/Remove-FreshServiceDepartment","Partial","Add or verify filters and fields endpoint","P2","Add - focused department read"
"Business hours","Business hours","View one; list","Get-FreshServiceBusinessHour","Implemented","","","Add - business-hours read"
"SLA policies","SLA policies","List","Get-FreshServiceSLAPolicy","Implemented","","","Add - SLA-policy read"
"Announcements","Announcements","Create; view; list; edit; delete","Get/New/Set/Remove-FreshServiceAnnouncement","Implemented","","","Skip - no announcement workload"
"Custom objects","Custom objects and records","List objects; show object; create/list/update/delete records","Get-FreshServiceCustomObject; Get/New/Set/Remove-FreshServiceCustomObjectRecord","Implemented","","","Conditional - add only for a committed custom-object-backed form field"
"Audit logs","Audit log export","Export","Invoke-FreshServiceAuditLogExport","Implemented","","","Skip - no audit-export workload"
